Image;AlgoPalette;AlgoEcosysteme;FlouRayon;KMeans_K;DBSCAN_Eps;DBSCAN_MinPts;HAC_K;TempsTotal_ms
Planete_4.jpg;K-Means (k=10);DBSCAN (eps=3.0, minPts=20);3;10;3.0;20;N/A;238253
Planete_4.jpg;K-Means (k=10);DBSCAN (eps=3.0, minPts=50);3;10;3.0;50;N/A;98663
Planete_4.jpg;K-Means (k=10);DBSCAN (eps=5.0, minPts=20);3;10;5.0;20;N/A;484002
Planete_4.jpg;K-Means (k=10);DBSCAN (eps=5.0, minPts=50);3;10;5.0;50;N/A;279526
Planete_4.jpg;K-Means (k=10);HAC (k=10);3;10;N/A;N/A;10;4996
Planete_4.jpg;K-Means (k=10);HAC (k=20);3;10;N/A;N/A;20;5291
Planete_4.jpg;K-Means (k=15);DBSCAN (eps=3.0, minPts=20);3;15;3.0;20;N/A;115688
Planete_4.jpg;K-Means (k=15);DBSCAN (eps=3.0, minPts=50);3;15;3.0;50;N/A;55245
Planete_4.jpg;K-Means (k=15);DBSCAN (eps=5.0, minPts=20);3;15;5.0;20;N/A;239927
Planete_4.jpg;K-Means (k=15);DBSCAN (eps=5.0, minPts=50);3;15;5.0;50;N/A;186398
Planete_4.jpg;K-Means (k=15);HAC (k=10);3;15;N/A;N/A;10;5841
Planete_4.jpg;K-Means (k=15);HAC (k=20);3;15;N/A;N/A;20;5657
Planete_4.jpg;K-Means (k=20);DBSCAN (eps=3.0, minPts=20);3;20;3.0;20;N/A;127345
Planete_4.jpg;K-Means (k=20);DBSCAN (eps=3.0, minPts=50);3;20;3.0;50;N/A;37646
Planete_4.jpg;K-Means (k=20);DBSCAN (eps=5.0, minPts=20);3;20;5.0;20;N/A;150074
Planete_4.jpg;K-Means (k=20);DBSCAN (eps=5.0, minPts=50);3;20;5.0;50;N/A;121791
Planete_4.jpg;K-Means (k=20);HAC (k=10);3;20;N/A;N/A;10;4084
Planete_4.jpg;K-Means (k=20);HAC (k=20);3;20;N/A;N/A;20;4886
Planete_4.jpg;K-Means (k=10);DBSCAN (eps=3.0, minPts=20);5;10;3.0;20;N/A;101493
